epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1591.31,0.61202,1.25707,0.4073,0.96361,0.93248,1,0.9927,0.87675,0.93248,1,0.9927,0.76645,0.43817,1.12068,0.33035,0.9132,0.001406,0.001406,0.001406
32,1642.83,0.61561,1.27958,0.41417,0.9689,0.99886,1,0.995,0.89841,0.99886,1,0.995,0.77072,0.43016,1.13985,0.2758,0.90519,0.0013862,0.0013862,0.0013862
33,1694.47,0.59143,1.23236,0.412,0.95467,0.98354,1,0.99375,0.91423,0.98354,1,0.99375,0.79753,0.43842,1.11592,0.25725,0.91568,0.0013664,0.0013664,0.0013664
34,1745.22,0.58491,1.20224,0.3884,0.94538,0.999,1,0.995,0.88353,0.999,1,0.995,0.76211,0.41061,1.04343,0.25998,0.90235,0.0013466,0.0013466,0.0013466
35,1796.8,0.61361,1.21928,0.40022,0.9613,0.99891,1,0.995,0.9148,0.99891,1,0.995,0.78552,0.43734,1.03941,0.26603,0.91982,0.0013268,0.0013268,0.0013268
36,1848.04,0.58936,1.19032,0.40911,0.94816,0.9991,1,0.995,0.91328,0.9991,1,0.995,0.78308,0.43804,1.09901,0.25597,0.91602,0.001307,0.001307,0.001307
37,1898.7,0.57697,1.16692,0.39125,0.94885,0.99774,1,0.995,0.92389,0.99774,1,0.995,0.80381,0.39311,1.03472,0.2557,0.88868,0.0012872,0.0012872,0.0012872
38,1948.94,0.60873,1.18465,0.40136,0.95097,0.97213,0.98276,0.99432,0.88634,0.97213,0.98276,0.99432,0.76004,0.41043,1.07912,0.28198,0.90194,0.0012674,0.0012674,0.0012674
39,1999.95,0.6039,1.19751,0.39625,0.95457,0.99821,1,0.995,0.89129,0.99821,1,0.995,0.77957,0.4243,1.01196,0.26985,0.92899,0.0012476,0.0012476,0.0012476
40,2050.95,0.58845,1.18273,0.39324,0.95044,0.99878,1,0.995,0.92148,0.99878,1,0.995,0.81298,0.40737,0.99914,0.25422,0.89501,0.0012278,0.0012278,0.0012278
